epoch,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,loss
0,0.6801831262262917,0.684811237928007,0.6824893361041234,0.12210961269160911,0.16352220263515807,0.1398137865518566,0.8113333333333334,0.2671202809482002,0.4019154557463672,0.2970402757108254,0.05530219820255867,0.09324439383678146,17.467248916625977,1.2283371935486789
1,0.7551020408163265,0.7390254609306409,0.7469772601220188,0.32221480916384565,0.16133924350685472,0.2150158530161373,0.862,0.283801580333626,0.42701453104359316,0.7327955979710978,0.054972457700712726,0.10227267968712118,17.56356430053711,0.17980638450384137
2,0.7605845690952074,0.7767778753292361,0.7685959387555652,0.5220889788669123,0.17190061594147646,0.2586419672999797,0.878,0.28906935908691833,0.43494055482166444,0.7137973220852751,0.05521344717059666,0.10249846246393846,18.403202056884766,0.160560118496418
3,0.7631692573402418,0.7758999122036875,0.7694819329560296,0.5167704294910954,0.17008990296184126,0.2559397538413303,0.8713333333333333,0.2868744512730465,0.4316380449141347,0.7689344857545413,0.0549610029240334,0.10258925094426109,18.039243698120117,0.15562543773651125
4,0.7806850618458611,0.7203687445127305,0.7493150684931507,0.5630982670009013,0.18711485590580876,0.2808909838378991,0.913337846987136,0.29609306409130814,0.4472070280125973,0.8417125028141761,0.067899741557279,0.12566247158668206,27.23846435546875,0.14450917637348176
5,0.7762893503014066,0.7631694468832309,0.7696734919756502,0.7331042152291887,0.20084535341971205,0.31530733595004024,0.916,0.3015803336259877,0.4537648612945839,0.8977485105024167,0.07343742180374699,0.13576872120233272,30.494646072387695,0.13411601471900944
6,0.7765535478184222,0.7734855136084284,0.7750164943919068,0.604355063196784,0.2048833368879467,0.3060217656500687,0.92,0.3028972783143108,0.4557463672391017,0.8429771402688384,0.07322777398724943,0.13475007292259608,31.464752197265625,0.1321967367529869
7,0.7779982363315696,0.7745829675153644,0.7762868455785306,0.7378054814124068,0.21318015320153502,0.3307841461228384,0.9226666666666666,0.3037752414398595,0.45706737120211366,0.9119289244826048,0.07698083925121146,0.14197666262100228,31.595733642578125,0.1302264323234559
8,0.7892180670228266,0.7133450395083406,0.7493659211436475,0.7008963912298238,0.22226801897731233,0.3375061921029762,0.9246058944482523,0.29609306409130814,0.4485453034081463,0.8382008896444382,0.07809310675889247,0.14287491092889107,33.623199462890625,0.14360718166828149
9,0.7880930656934306,0.7583406496927129,0.772930648769575,0.6360856030073138,0.2389109734928559,0.3473564005178439,0.9373333333333334,0.3086040386303775,0.46433289299867897,0.9090331822788792,0.08284873069737056,0.1518572812515837,37.34580612182617,0.12885790193080898
